Seq#	Kingdom	Phylum	Class	Order	Family	Genus	Species	V8	V9	V10	V11	V12	V13	V14
Seq_1651	k__Fungi	NA	NA	NA	NA	NA	NA	100	49	12	12	12	12	12
Seq_1652	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	s__marchalianum	100	100	98	98	91	91	77
Seq_1653	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Schizothecium	NA	100	100	100	100	100	94	44
Seq_1654	k__Fungi	p__Mortierellomycota	NA	NA	NA	NA	NA	100	66	44	44	44	44	44
Seq_1655	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	55	22	9	9	9	9
Seq_1656	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Funneliformis	NA	100	96	96	96	96	96	73
Seq_1657	k__Fungi	NA	NA	NA	NA	NA	NA	100	49	27	25	25	24	24
Seq_1658	k__Fungi	NA	NA	NA	NA	NA	NA	100	42	34	27	27	27	27
Seq_1659	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Funneliformis	NA	100	91	91	91	91	90	75
Seq_1660	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	59	14	10	8	8	8
Seq_1661	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	89	28	21	10	10	10
Seq_1662	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Leptosphaeria	s__sclerotioides	100	100	100	100	100	100	98
Seq_1663	k__Fungi	NA	NA	NA	NA	NA	NA	100	45	19	16	16	14	14
Seq_1664	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA	100	99	85	83	35	17	9
Seq_1665	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	NA	100	99	99	99	99	99	31
Seq_1666	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Naganishia	s__albida	100	100	100	100	100	100	72
Seq_1667	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Auriculariaceae	g__Auricularia	NA	100	99	98	98	69	69	67
Seq_1668	k__Fungi	p__Chytridiomycota	NA	NA	NA	NA	NA	100	57	37	37	18	14	14
Seq_1669	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Pseudopithomyces	NA	100	100	97	97	95	72	72
Seq_1670	k__Fungi	NA	NA	NA	NA	NA	NA	100	26	13	13	10	10	10
Seq_1671	k__Fungi	p__Ascomycota	c__Leotiomycetes	NA	NA	NA	NA	100	100	91	40	40	40	40
Seq_1672	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA	100	100	68	65	14	10	10
Seq_1673	k__Fungi	NA	NA	NA	NA	NA	NA	100	47	9	9	9	9	9
Seq_1674	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Corticiales	f__Corticiaceae	NA	NA	100	100	99	99	76	76	76
Seq_1675	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Morosphaeriaceae	g__Acrocalymma	NA	100	100	100	100	100	99	99
Seq_1676	k__Fungi	NA	NA	NA	NA	NA	NA	100	49	17	4	3	3	3
Seq_1677	k__Fungi	NA	NA	NA	NA	NA	NA	100	37	6	6	4	4	4
Seq_1678	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	53	19	6	3	3	3
Seq_1679	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Arthrobotrys	s__conoides	100	100	100	100	100	100	100
Seq_1680	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	56	6	6	6	6	6
Seq_1681	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA	100	84	55	55	34	34	34
Seq_1682	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Bolbitiaceae	g__Conocybe	s__deliquescens	100	100	100	100	100	100	100
Seq_1683	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	NA	NA	NA	100	75	66	51	39	39	39
Seq_1684	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	NA	NA	NA	100	100	99	99	36	36	36
Seq_1685	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA	100	94	81	24	24	24	24
Seq_1686	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Phaeosphaeria	NA	100	100	99	99	98	97	97
Seq_1687	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	69	13	9	9	9	9
Seq_1688	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Sporobolomyces	s__roseus	100	100	100	100	100	99	94
Seq_1689	k__Fungi	p__Glomeromycota	NA	NA	NA	NA	NA	100	61	41	41	41	20	20
Seq_1690	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Ascodesmidaceae	g__Cephaliophora	s__tropica	100	99	91	91	90	90	82
Seq_1691	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	NA	NA	100	90	55	55	52	48	22
Seq_1692	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA	100	97	69	68	44	44	44
Seq_1693	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Stachybotryaceae	g__Myxospora	s__aptrootii	100	100	100	100	100	95	89
Seq_1694	k__Fungi	p__Chytridiomycota	NA	NA	NA	NA	NA	100	55	32	32	32	27	27
Seq_1695	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	57	29	19	17	17	17
Seq_1696	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Chaetosphaeronema	NA	100	100	94	86	85	66	66
Seq_1697	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	NA	100	100	99	99	69	57	13
Seq_1698	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	59	31	10	10	9	9
Seq_1699	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	95	26	11	8	2	2
Seq_1700	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	57	38	14	8	8	8
Seq_1701	k__Fungi	NA	NA	NA	NA	NA	NA	100	44	14	10	10	10	10
Seq_1702	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pezizaceae	NA	NA	100	100	99	99	99	96	96
Seq_1703	k__Fungi	NA	NA	NA	NA	NA	NA	100	13	13	13	13	13	13
Seq_1704	k__Fungi	NA	NA	NA	NA	NA	NA	100	38	27	19	19	19	19
Seq_1705	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA	100	57	12	12	12	12	12
Seq_1706	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Humicola	s__olivacea	100	100	100	99	98	65	65
Seq_1707	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	52	31	9	9	9	9
Seq_1708	k__Fungi	NA	NA	NA	NA	NA	NA	100	29	18	18	18	18	18
Seq_1709	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Periconiaceae	g__Periconia	s__prolifica	100	100	93	93	90	90	75
Seq_1710	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lophiostomataceae	g__Lophiostoma	NA	100	100	100	100	100	100	100
Seq_1711	k__Fungi	NA	NA	NA	NA	NA	NA	100	22	18	7	7	7	7
Seq_1712	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Phaeosphaeria	NA	100	100	100	100	100	100	54
Seq_1713	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	f__Powellomycetaceae	NA	NA	100	95	94	94	52	46	46
Seq_1714	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Neosetophoma	NA	100	100	100	100	94	88	88
Seq_1715	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	NA	NA	NA	100	100	85	71	49	49	13
Seq_1716	k__Fungi	NA	NA	NA	NA	NA	NA	100	51	51	51	51	51	51
Seq_1717	k__Fungi	NA	NA	NA	NA	NA	NA	100	26	26	26	26	26	26
