#OTU	Angel-ITS001-soil6-1_S1	Angel-ITS002-soil6-2_S2	Angel-ITS003-soil6-3_S3	Angel-ITS004-soil5-1_S4	Angel-ITS005-soil5-2_S5	Angel-ITS006-soil5-3_S6	Angel-ITS007-soil4-1_S7	Angel-ITS008-soil4-2_S8	Angel-ITS009-soil4-3_S9	Angel-ITS010-GA13_S10	Angel-ITS011-GA14_S11	Angel-ITS012-GA15_S12	Angel-ITS013-GA16_S13	Angel-ITS014-GB13_S14	Angel-ITS015-GB14_S15	Angel-ITS016-GB15_S16	Angel-ITS017-GB16_S17	Angel-ITS018-GK13_S18	Angel-ITS019-GK14_S19	Angel-ITS020-GK15_S20	Angel-ITS021-GK16_S21	Angel-ITS022-Extr-CTRL_S22	Angel-ITS023-Mock-Com_S23	Angel-ITS024-NTC_S24	Angel-ITS025-RA13_S25	Angel-ITS026-RA14_S26	Angel-ITS027-RA15_S27	Angel-ITS028-RA16_S28	Angel-ITS029-RB13_S29	Angel-ITS030-RB15_S30	Angel-ITS031-RK13_S31	Angel-ITS032-RK14_S32	Angel-ITS033-RK15_S33	Angel-ITS034-RK16_S34	Angel-ITS035-RB14_S35	Angel-ITS036-RB16_S36	Eva1-GK1_S13	Eva10-RK2_S22	Eva11-GB2_S23	Eva12-RB2_S24	Eva13-GA2_S25	Eva14-RA2_S26	Eva15-B1_S27	Eva16-GF_S28	Eva17-GK3_S29	Eva18-RK3_S30	Eva19-GB3_S31	Eva2-RK1_S14	Eva20-RB3_S32	Eva21-GA3_S33	Eva22-RA3_S34	Eva23-A1_S35	Eva24-NTC_S36	Eva25-GK4_S37	Eva26-RK4_S38	Eva27-GB4_S39	Eva28-RB4_S40	Eva29-GA4_S41	Eva3-GB1_S15	Eva30-RA4_S42	Eva4-RB1_S16	Eva5-GA1_S17	Eva6-RA1_S18	Eva7-K1_S19	Eva9-GK2_S21	Petrova001-GK1_S203	Petrova002-RK1_S204	Petrova003-GB5_S205	Petrova004-RB5_S206	Petrova005-GA5_S207	Petrova006-RA5_S208	Petrova007-K1-2-1_S209	Petrova008-blank-extr_S210	Petrova009-GB6_S211	Petrova010-RB6_S212	Petrova011-GA6_S213	Petrova012-RA6_S214	Petrova013-B1-2-1_S215	Petrova015-GK7_S217	Petrova016-RK7_S218	Petrova017-GB7_S219	Petrova018-RB7_S220	Petrova019-GA7_S221	Petrova020-RA7_S222	Petrova021-A1-2-1_S223	Petrova022-GK8_S224	Petrova023-RK8_S225	Petrova024-GB8_S226	Petrova025-RB8_S227	Petrova026-GA8_S228	Petrova027-RA8_S229	Petrova028-K1-1-2_S230	Petrova029-K1-2-2_S231	Petrova030-K1-1-1_S232	Petrova031-B1-1-2_S233	Petrova032-B1-2-2_S234	Petrova033-GF_S235	Petrova034-A1-1-2_S236	Roey001-GK5_S146	Roey002-GK10_S147	Roey003-RK5_S148	Roey004-RK6_S149	Roey005-RK9_S150	Roey006-RK10_S151	Roey007-RK11-GK11_S152	Roey008-RK12_S153	Roey009-GB9_S154	Roey010-GB10_S155	Roey011-GB11_S156	Roey012-GB12_S157	Roey013-RB9_S158	Roey014-RB10_S159	Roey015-RB11_S160	Roey016-RB12_S161	Roey017-GA9_S162	Roey018-GA10_S163	Roey019-GA11_S164	Roey020-GA12_S165	Roey021-RA9_S166	Roey022-RA10_S167	Roey023-RA11_S168	Roey024-RA12_S169	Roey025-K1-3-1_S170	Roey026-K1-3-2_S171	Roey027-K1-3-3_S172	Roey028-B1-3-1_S173	Roey029-B1-3-2_S174	Roey030-B1-3-3_S175	Roey031-A1-3-1_S176	Roey032-A1-3-2_S177	Roey033-A1-3-3_S178	Roey034-A1-2-2_S179	Roey037-Extr-CTRL_S182	Roey038-CTRL_S183	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/SourceSeq_4	758	0	295	833	3	1117	2512	0	1054	1014	6519	11004	359	0	0	0	0	1873	724	673	0	0	0	0	709	2000	515	2513	0	0	961	221	1018	4	0	13	0	293	471	179	228	141	497	433	2608	401	465	0	12	571	355	2222	190	1087	848	193	73	441	797	258	93	199	145	0	168	140	138	974	527	322	714	697	2	327	0	561	1604	0	960	1908	189	549	420	1769	455	3586	2458	3394	51	565	1076	857	384	1082	0	4	10	881	2664	0	563	800	625	19	0	54	0	0	0	0	0	25	1	0	15	0	8	0	988	73	190	107	728	232	397	453	120	186	1287	845	798	661	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;NA;NA;NA;	-	-	-	-	-	-	-	Unassigned	-
Seq_54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5857	5867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA;	-	-	-	-	-	-	-	Unassigned	-
Seq_55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	342	121	147	833	79	297	3211	358	286	0	41	451	378	328	178	466	460	200	24	106	583	151	100	274	1198	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__pullulans;	-	-	-	-	-	-	-	Unassigned	-
Seq_57	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162	368	0	25	0	4	286	5487	352	255	0	0	0	0	23	145	15	185	88	24	215	130	103	0	97	0	0	215	1008	4	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__Pyxidiophorales;NA;NA;NA;	-	-	-	-	-	-	-	Unassigned	-
Seq_70	2	0	3	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745	211	111	142	243	12	222	143	486	198	0	1	398	930	39	93	1075	782	135	39	279	237	481	0	3	127	1	150	460	4	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	5	1	1	0	10	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;NA;NA;NA;	-	-	-	-	-	-	-	Unassigned	-
Seq_72	8	0	101	26	33	6	29	24	58	0	152	2929	0	0	0	0	0	0	0	0	0	0	0	0	0	22	241	366	2	0	0	0	0	0	157	0	0	138	405	55	0	10	60	84	13	109	211	0	53	6	13	63	26	17	63	69	158	2	934	0	28	0	70	0	36	0	16	0	0	226	0	7	0	0	121	0	0	6	0	0	0	0	27	0	11	0	0	0	6	0	5	4	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	224	220	0	0	0	0	0	0	0	8	6	7	6	0	0	17	12	0	0	k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA;	-	-	-	-	-	-	-	Unassigned	-
Seq_73	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	232	146	12	638	9	149	58	115	137	0	272	31	49	17	36	752	554	123	13	170	68	90	869	50	116	0	65	8	59	256	347	0	19	0	0	135	39	0	13	3	74	0	513	235	0	1	0	0	80	911	97	0	0	0	1	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Mrakia;s__frigida;	-	-	-	-	-	-	-	Unassigned	-
Seq_74	0	0	0	2	8	0	0	0	0	132	236	320	131	198	0	462	731	73	256	179	0	0	0	0	8	0	113	179	37	2	0	3	8	0	215	0	0	0	1	0	0	5	21	4	0	0	1	0	0	0	0	6	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	523	14	0	0	0	0	198	8	1	0	0	315	0	453	3	17	0	0	57	0	441	4	12	2	2	0	0	7	11	0	0	0	97	0	3	7	16	0	0	517	84	8	204	144	85	107	153	113	129	122	52	8	239	0	0	4	0	0	5	13	7	3	0	0	0	0	0	k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA;	-	-	-	-	-	-	-	Unassigned	-
Seq_77	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1151	5027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	629	0	0	32	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;NA;NA;NA;	-	-	-	-	-	-	-	Unassigned	-
Seq_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	863	251	106	182	0	23	337	941	157	145	0	454	20	26	63	145	10	61	51	11	233	366	167	978	84	9	0	142	813	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	4	5	0	2	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__Pyxidiophorales;NA;NA;NA;	-	-	-	-	-	-	-	Unassigned	-
Seq_83	0	0	0	0	232	0	0	5229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	240	389	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;NA;NA;NA;NA;	-	-	-	-	-	-	-	Unassigned	-
