sample_name	file_name	input	filtered	denoised	merged	tabled	nonchim
Roey010-GB10_S155	Roey010-GB10_S155_L001_R1_001_noPrimers.fastq.gz	25160	15232	15085	14034	14034	13349
Roey011-GB11_S156	Roey011-GB11_S156_L001_R1_001_noPrimers.fastq.gz	17493	8494	8420	7713	7713	7466
Roey012-GB12_S157	Roey012-GB12_S157_L001_R1_001_noPrimers.fastq.gz	25288	14009	13852	12980	12980	12333
Roey013-RB9_S158	Roey013-RB9_S158_L001_R1_001_noPrimers.fastq.gz	21153	15374	15192	14247	14247	13823
Roey014-RB10_S159	Roey014-RB10_S159_L001_R1_001_noPrimers.fastq.gz	20662	17205	17001	15956	15956	15363
Roey015-RB11_S160	Roey015-RB11_S160_L001_R1_001_noPrimers.fastq.gz	22649	16472	16345	14833	14833	12692
Roey016-RB12_S161	Roey016-RB12_S161_L001_R1_001_noPrimers.fastq.gz	16662	12149	12052	11769	11769	11408
Roey017-GA9_S162	Roey017-GA9_S162_L001_R1_001_noPrimers.fastq.gz	23704	19201	18964	17882	17882	16823
Roey018-GA10_S163	Roey018-GA10_S163_L001_R1_001_noPrimers.fastq.gz	24553	15152	14977	13413	13413	12607
Roey019-GA11_S164	Roey019-GA11_S164_L001_R1_001_noPrimers.fastq.gz	22662	13058	12928	12126	12126	11490
Roey020-GA12_S165	Roey020-GA12_S165_L001_R1_001_noPrimers.fastq.gz	19158	11708	11604	10907	10907	10337
Roey021-RA9_S166	Roey021-RA9_S166_L001_R1_001_noPrimers.fastq.gz	18714	15638	15436	14336	14336	14084
Roey022-RA10_S167	Roey022-RA10_S167_L001_R1_001_noPrimers.fastq.gz	19691	16209	15957	15031	15031	14551
Roey023-RA11_S168	Roey023-RA11_S168_L001_R1_001_noPrimers.fastq.gz	20223	16704	16566	15461	15461	14659
Roey024-RA12_S169	Roey024-RA12_S169_L001_R1_001_noPrimers.fastq.gz	45548	38104	37817	35110	35110	33497
Roey025-K1-3-1_S170	Roey025-K1-3-1_S170_L001_R1_001_noPrimers.fastq.gz	31168	26510	25774	24225	24225	23543
Roey026-K1-3-2_S171	Roey026-K1-3-2_S171_L001_R1_001_noPrimers.fastq.gz	20454	16846	16353	15644	15644	15433
Roey027-K1-3-3_S172	Roey027-K1-3-3_S172_L001_R1_001_noPrimers.fastq.gz	22087	18793	18100	16794	16794	16533
Roey028-B1-3-1_S173	Roey028-B1-3-1_S173_L001_R1_001_noPrimers.fastq.gz	22152	18142	17470	16249	16249	16092
Roey029-B1-3-2_S174	Roey029-B1-3-2_S174_L001_R1_001_noPrimers.fastq.gz	22260	18911	18289	17157	17157	17055
Roey030-B1-3-3_S175	Roey030-B1-3-3_S175_L001_R1_001_noPrimers.fastq.gz	21485	18160	17540	16738	16738	16528
Roey031-A1-3-1_S176	Roey031-A1-3-1_S176_L001_R1_001_noPrimers.fastq.gz	22428	19484	18950	17563	17563	17314
Roey032-A1-3-2_S177	Roey032-A1-3-2_S177_L001_R1_001_noPrimers.fastq.gz	27080	23298	22710	21258	21258	20875
Roey033-A1-3-3_S178	Roey033-A1-3-3_S178_L001_R1_001_noPrimers.fastq.gz	23275	19408	18777	17700	17700	17274
Roey034-A1-2-2_S179	Roey034-A1-2-2_S179_L001_R1_001_noPrimers.fastq.gz	28420	24885	24247	22564	22564	22180
Roey037-Extr-CTRL_S182	Roey037-Extr-CTRL_S182_L001_R1_001_noPrimers.fastq.gz	14	3	3	2	2	2
Roey038-CTRL_S183	Roey038-CTRL_S183_L001_R1_001_noPrimers.fastq.gz	8	7	7	5	5	5
