Sample name,Workshop,Season,Run,Type,Sample type,Field,Field,Replicate,Control,Weight extracted (g),Extr. Date,Elution volume (ml),Dilution,Conc. (ng/ul),ng DNA,ng DNA g-1,260/280 [nm],260/230 [nm],Nanodrop Conc. (ng/ul),PCR products_ITS_send for seq,Gene,Read1_file
GK14,4,Autumn,4,Teabag,Green tea,Kolluvisol,Luvisol,2,FALSE,0.24,31.1.2019,100,1,61,6085.9,25358.07,1.86,2.23,110.6,14.2.2019,ITS,Angel-ITS019-GK14_S19_L001_R1_001.fastq.gz
GK15,4,Autumn,4,Teabag,Green tea,Kolluvisol,Luvisol,3,FALSE,0.25,31.1.2019,100,1,59,5921.8,23687.32,1.85,2.22,102.3,14.2.2019,ITS,Angel-ITS020-GK15_S20_L001_R1_001.fastq.gz
GK16,4,Autumn,4,Teabag,Green tea,Kolluvisol,Luvisol,4,FALSE,0.24,31.1.2019,100,1,75,7501.4,31255.71,1.88,2.09,123.8,14.2.2019,ITS,Angel-ITS021-GK16_S21_L001_R1_001.fastq.gz
RB13,4,Autumn,4,Teabag,Rooibos,Braunerde,Cambisol,1,FALSE,0.25,30.1.2019,100,1,37,3726.9,14907.53,1.74,1.3,42.2,14.2.2019,ITS,Angel-ITS029-RB13_S29_L001_R1_001.fastq.gz
RB14,4,Autumn,4,Teabag,Rooibos,Braunerde,Cambisol,2,FALSE,0.26,30.1.2019,100,1,41,4133.7,15898.98,1.77,1.58,47.2,14.2.2019,ITS,Angel-ITS035-RB14_S35_L001_R1_001.fastq.gz
RB15,4,Autumn,4,Teabag,Rooibos,Braunerde,Cambisol,3,FALSE,0.27,30.1.2019,100,1,17,1733.7,6420.93,1.66,1.21,23.5,14.2.2019,ITS,Angel-ITS030-RB15_S30_L001_R1_001.fastq.gz
RB16,4,Autumn,4,Teabag,Rooibos,Braunerde,Cambisol,4,FALSE,0.26,30.1.2019,100,1,37,3675.6,14136.92,1.76,1.36,41.8,14.2.2019,ITS,Angel-ITS036-RB16_S36_L001_R1_001.fastq.gz
GB13,4,Autumn,4,Teabag,Green tea,Braunerde,Cambisol,1,FALSE,0.29,31.1.2019,100,1,72,7176.6,24746.81,1.86,2.13,100.6,14.2.2019,ITS,Angel-ITS014-GB13_S14_L001_R1_001.fastq.gz
GB14,4,Autumn,4,Teabag,Green tea,Braunerde,Cambisol,2,FALSE,0.26,31.1.2019,100,1,64,6369.7,24498.88,1.83,2,8.06,14.2.2019,ITS,Angel-ITS015-GB14_S15_L001_R1_001.fastq.gz
GB15,4,Autumn,4,Teabag,Green tea,Braunerde,Cambisol,3,FALSE,0.26,31.1.2019,100,1,64,6376.5,24525.18,1.81,1.98,78.85,14.2.2019,ITS,Angel-ITS016-GB15_S16_L001_R1_001.fastq.gz
GB16,4,Autumn,4,Teabag,Green tea,Braunerde,Cambisol,4,FALSE,0.26,31.1.2019,100,1,69,6889.4,26497.63,1.85,2.18,101.9,14.2.2019,ITS,Angel-ITS017-GB16_S17_L001_R1_001.fastq.gz
RA13,4,Autumn,4,Teabag,Rooibos,Auboden,Fluvisol,1,FALSE,0.29,30.1.2019,100,1,32,3207.2,11059.33,1.78,1.48,36.1,14.2.2019,ITS,Angel-ITS025-RA13_S25_L001_R1_001.fastq.gz
RA14,4,Autumn,4,Teabag,Rooibos,Auboden,Fluvisol,2,FALSE,0.29,30.1.2019,100,1,28,2827.7,9750.71,1.69,1.23,36.7,14.2.2019,ITS,Angel-ITS026-RA14_S26_L001_R1_001.fastq.gz
RA15,4,Autumn,4,Teabag,Rooibos,Auboden,Fluvisol,3,FALSE,0.28,30.1.2019,100,1,57,5655.2,20196.98,1.83,1.86,69.6,14.2.2019,ITS,Angel-ITS027-RA15_S27_L001_R1_001.fastq.gz
RA16,4,Autumn,4,Teabag,Rooibos,Auboden,Fluvisol,4,FALSE,0.27,30.1.2019,100,1,59,5925.2,21945.37,1.83,1.82,73.5,14.2.2019,ITS,Angel-ITS028-RA16_S28_L001_R1_001.fastq.gz
GA13,4,Autumn,4,Teabag,Green tea,Auboden,Fluvisol,1,FALSE,0.25,30.1.2019,100,1,76,7573.2,30292.67,1.87,2.11,155.3,14.2.2019,ITS,Angel-ITS010-GA13_S10_L001_R1_001.fastq.gz
GA14,4,Autumn,4,Teabag,Green tea,Auboden,Fluvisol,2,FALSE,0.24,30.1.2019,100,1,77,7730.4,32210.16,1.85,2.03,165.1,14.2.2019,ITS,Angel-ITS011-GA14_S11_L001_R1_001.fastq.gz
GA15,4,Autumn,4,Teabag,Green tea,Auboden,Fluvisol,3,FALSE,0.29,30.1.2019,100,1,78,7798.8,26892.47,1.87,2.08,186,14.2.2019,ITS,Angel-ITS012-GA15_S12_L001_R1_001.fastq.gz
GA16,4,Autumn,4,Teabag,Green tea,Auboden,Fluvisol,4,FALSE,0.27,30.1.2019,100,1,76,7645,28314.69,1.85,2.1,173.7,14.2.2019,ITS,Angel-ITS013-GA16_S13_L001_R1_001.fastq.gz
soil 6-1,4,Autumn,4,Soil,Soil,Kolluvisol,Luvisol,1,FALSE,0.36,29.1.2019,100,1,27,2653.3,7370.39,1.76,1.89,37.1,14.2.2019,ITS,Angel-ITS001-soil6-1_S1_L001_R1_001.fastq.gz
soil 6-2,4,Autumn,4,Soil,Soil,Kolluvisol,Luvisol,2,FALSE,0.31,29.1.2019,100,1,6,581.5,1875.73,1.55,0.82,7.3,14.2.2019,ITS,Angel-ITS002-soil6-2_S2_L001_R1_001.fastq.gz
soil 6-3,4,Autumn,4,Soil,Soil,Kolluvisol,Luvisol,3,FALSE,0.34,29.1.2019,100,1,21,2102.9,6184.99,1.72,1.65,24.8,14.2.2019,ITS,Angel-ITS003-soil6-3_S3_L001_R1_001.fastq.gz
soil 5-1,4,Autumn,4,Soil,Soil,Braunerde,Cambisol,1,FALSE,0.25,29.1.2019,100,1,22,2246.5,8985.96,1.72,1.94,25.1,14.2.2019,ITS,Angel-ITS004-soil5-1_S4_L001_R1_001.fastq.gz
soil 5-2,4,Autumn,4,Soil,Soil,Braunerde,Cambisol,2,FALSE,0.28,29.1.2019,100,1,31,3114.9,11124.63,1.75,1.74,35.9,14.2.2019,ITS,Angel-ITS005-soil5-2_S5_L001_R1_001.fastq.gz
soil 5-3,4,Autumn,4,Soil,Soil,Braunerde,Cambisol,3,FALSE,0.26,29.1.2019,100,1,23,2263.6,8706.1,1.72,1.71,26.5,14.2.2019,ITS,Angel-ITS006-soil5-3_S6_L001_R1_001.fastq.gz
soil 4-1,4,Autumn,4,Soil,Soil,Auboden,Fluvisol,1,FALSE,0.27,29.1.2019,100,1,12,1200.3,4445.56,1.77,1.35,13.5,14.2.2019,ITS,Angel-ITS007-soil4-1_S7_L001_R1_001.fastq.gz
soil 4-2,4,Autumn,4,Soil,Soil,Auboden,Fluvisol,2,FALSE,0.27,29.1.2019,100,1,28,2803.8,10384.35,1.71,1.67,30.6,14.2.2019,ITS,Angel-ITS008-soil4-2_S8_L001_R1_001.fastq.gz
soil 4-3,4,Autumn,4,Soil,Soil,Auboden,Fluvisol,3,FALSE,0.26,29.1.2019,100,1,21,2051.6,7890.82,1.76,1.73,23.7,14.2.2019,ITS,Angel-ITS009-soil4-3_S9_L001_R1_001.fastq.gz
mock community,4,Autumn,4,Mock,Mock,NA,NA,1,FALSE,NA,NA,NA,1,10,NA,NA,NA,NA,NA,14.2.2019,ITS,Angel-ITS023-Mock-Com_S23_L001_R1_001.fastq.gz
blank extr.,4,Autumn,4,Control,Control,NA,NA,1,TRUE,NA,29.1.2019,100,1,1,100,NA,1.38,0.56,NA,7.2.2019; 8.2.2019,ITS,Angel-ITS022-Extr-CTRL_S22_L001_R1_001.fastq.gz
NTC,4,Autumn,4,Control,Control,NA,NA,1,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,ITS,Angel-ITS024-NTC_S24_L001_R1_001.fastq.gz
,,,,,,,,,,,,,,,,6017.1,,,,,,
,,,,,,,,,,,,,,,,12811.1,,,,,,
