"","Phylum","Sample.type - P","Sample.type - EtaSq","Green tea vs Rooibos","Green tea vs Soil","Rooibos vs Soil"
"1","Ascomycota",1.11589933049795e-08,0.327658056383948,0.0554384493048307,2.18633416042669e-08,2.9529662515385e-06
"2","Basidiomycota",0.000279102322179175,0.282204555076411,0.0256325712237488,0.00017866176515679,0.035085731080271
