"","Order","Season - P","Season - EtaSq","Winter vs Spring","Winter vs Summer","Winter vs Autumn","Spring vs Summer","Spring vs Autumn","Summer vs Autumn"
"1","Hypocreales",5.40135383998831e-08,0.316266707295346,0.980339558817096,0.0422104768379651,0.0750553676008401,0.0595119043268271,0.181702705574496,0.71267531537747
"2","Helotiales",0.0264746938744523,0.166151271624634,0.000312476701079424,1.25751408636171e-09,2.73761465277769e-09,5.92068631772891e-08,7.62930580527171e-06,0.0693764099013185
"3","Xylariales",0.0399283758952376,0.166151271624634,1.4769887371375e-05,0.0556767444122969,0.0086218462465848,0.0253605619378508,0.0506059556205799,0.71267531537747
"4","Pleosporales",1.61798647874707e-07,0.316266707295346,0.00477555580677159,7.15466674099928e-07,2.20648508729352e-05,0.0463455633668159,0.560334508517942,0.0955713754228655
"5","Sordariales",2.54068879576428e-05,0.316266707295346,0.980339558817096,0.0723677923391882,0.56341485618059,0.389189081872427,0.968714276763374,0.417612105376025
