"","Order","Sample.type - P","Sample.type - EtaSq","Green tea vs Rooibos","Green tea vs Soil","Rooibos vs Soil"
"1","Hypocreales",5.40135383998831e-08,0.316266707295346,3.06441116302771e-07,8.74174926777956e-06,0.160885453406097
"2","Helotiales",0.0264746938744523,0.166151271624634,0.0237111253918188,0.892423392807063,0.0784946823048634
"3","Xylariales",0.0399283758952376,0.166151271624634,0.0419171549478039,0.0269425054906718,0.762130517136204
"4","Pleosporales",1.61798647874707e-07,0.316266707295346,0.00027312640238741,1.31212946355917e-08,0.762130517136204
"5","Sordariales",2.54068879576428e-05,0.316266707295346,0.00660164221446049,8.74174926777956e-06,0.100832240017863
