Sample name,Workshop,Season,Run,Type,Sample type,Field (German),Field,Replicate,Control,Weight extracted (g),Extr. Date,Elution volume (ml),Dilution,Conc. (ng/ul),ng DNA,ng DNA g-1,260/280 [nm],260/230 [nm],Nanodrop Conc. (ng/ul),PCR products_16S_send for seq,Gene,Read1_file
GB4,1,Winter,2,Teabag,Green tea,Braunerde,Cambisol,4,FALSE,0.25,18.4.2018,100,1,109,9523.1,37640.8,1.86,1.92,165,27.4.2018; 3.5.2018,16S,Re-Eva27-GB4_S27_L001_R1_001.fastq.gz
RB1,1,Winter,1,Teabag,Rooibos,Braunerde,Cambisol,1,FALSE,0.26,19.4.2018,100,1,24,10179.7,39152.6,1.53,0.7,54,2.5.2018; 3.5.2018,16S,Eva4-RB1_S186_L001_R1_001.fastq.gz
RB1,1,Winter,2,Teabag,Rooibos,Braunerde,Cambisol,1,FALSE,0.26,19.4.2018,100,1,24,10179.7,39152.6,1.53,0.7,54,2.5.2018; 3.5.2018,16S,Re-Eva4-RB1_S4_L001_R1_001.fastq.gz
RB2,1,Winter,1,Teabag,Rooibos,Braunerde,Cambisol,2,FALSE,0.24,19.4.2018,100,1,22,10179.7,42415.3,1.66,0.99,54,27.4.2018; 3.5.2018,16S,Eva12-RB2_S194_L001_R1_001.fastq.gz
RB2,1,Winter,2,Teabag,Rooibos,Braunerde,Cambisol,2,FALSE,0.24,19.4.2018,100,1,22,10179.7,42415.3,1.66,0.99,54,27.4.2018; 3.5.2018,16S,Re-Eva12-RB2_S12_L001_R1_001.fastq.gz
RB3,1,Winter,1,Teabag,Rooibos,Braunerde,Cambisol,3,FALSE,0.24,19.4.2018,100,1,32,11050.1,46042.1,1.67,1.02,63,2.5.2018; 3.5.2018,16S,Eva20-RB3_S202_L001_R1_001.fastq.gz
RB3,1,Winter,2,Teabag,Rooibos,Braunerde,Cambisol,3,FALSE,0.24,19.4.2018,100,1,32,11050.1,46042.1,1.67,1.02,63,2.5.2018; 3.5.2018,16S,Re-Eva20-RB3_S20_L001_R1_001.fastq.gz
RB4,1,Winter,1,Teabag,Rooibos,Braunerde,Cambisol,4,FALSE,0.26,19.4.2018,100,1,33,11050.1,42500.4,1.73,1.36,59,2.5.2018; 2.5.2018; 3.5.2018,16S,Eva28-RB4_S210_L001_R1_001.fastq.gz
RB4,1,Winter,2,Teabag,Rooibos,Braunerde,Cambisol,4,FALSE,0.26,19.4.2018,100,1,33,11050.1,42500.4,1.73,1.36,59,2.5.2018; 2.5.2018; 3.5.2018,16S,Re-Eva28-RB4_S28_L001_R1_001.fastq.gz
GA1,1,Winter,1,Teabag,Green tea,Auboden,Fluvisol,1,FALSE,0.26,19.4.2018,100,1,103,10900.9,41926.5,1.84,1.95,143,25.4.2018; 26.4.2018; 27.4.2018,16S,Eva5-GA1_S187_L001_R1_001.fastq.gz
