Sample name,Workshop,Season,Run,Type,Sample type,Field (German),Field,Replicate,Control,Weight extracted (g),Extr. Date,Elution volume (ml),Dilution,Conc. (ng/ul),ng DNA,ng DNA g-1,260/280 [nm],260/230 [nm],Nanodrop Conc. (ng/ul),PCR products_16S_send for seq,Gene,Read1_file
GB12,3,Summer,4,Teabag,Green tea,Braunerde,Cambisol,4,FALSE,0.23,23.10.2018,100,1,76,7590.9,33003849.88,2.04,1.76,159.1,26.11.2018; 28.11.2018,16S,Angel012-GB12_S257_L001_R1_001.fastq.gz
RB9,3,Summer,4,Teabag,Rooibos,Braunerde,Cambisol,1,FALSE,0.24,23.10.2018,100,1,45,4531,18878962.52,2.05,1.96,81.7,26.11.2018; 28.11.2018,16S,Angel013-RB9_S258_L001_R1_001.fastq.gz
RB10,3,Summer,4,Teabag,Rooibos,Braunerde,Cambisol,2,FALSE,0.24,23.10.2018,100,1,22,2180.5,9085538.2,2.03,1.68,49.4,26.11.2018; 28.11.2018,16S,Angel014-RB10_S259_L001_R1_001.fastq.gz
RB11,3,Summer,4,Teabag,Rooibos,Braunerde,Cambisol,3,FALSE,0.25,23.10.2018,100,1,59,5942.2,23768944.5,2.05,1.87,98,26.11.2018; 28.11.2018,16S,Angel015-RB11_S260_L001_R1_001.fastq.gz
RB12,3,Summer,4,Teabag,Rooibos,Braunerde,Cambisol,4,FALSE,0.23,23.10.2018,100,1,55,5477.8,23816642.87,2.02,1.81,91.2,26.11.2018; 28.11.2018,16S,Angel016-RB12_S261_L001_R1_001.fastq.gz
GA9,3,Summer,4,Teabag,Green tea,Auboden,Fluvisol,1,FALSE,0.25,23.10.2018,100,1,112,11190,44760198.15,2.07,1.99,91.2,26.11.2018; 28.11.2018,16S,Angel017-GA9_S262_L001_R1_001.fastq.gz
GA10,3,Summer,4,Teabag,Green tea,Auboden,Fluvisol,2,FALSE,0.23,23.10.2018,100,1,94,9404.7,40889816.33,2.05,1.87,154.5,26.11.2018; 28.11.2018,16S,Angel018-GA10_S263_L001_R1_001.fastq.gz
GA11,3,Summer,4,Teabag,Green tea,Auboden,Fluvisol,3,FALSE,0.26,23.10.2018,100,1,94,9358.2,35993142.04,2.06,1.91,154,26.11.2018; 28.11.2018,16S,Angel019-GA11_S264_L001_R1_001.fastq.gz
GA12,3,Summer,4,Teabag,Green tea,Auboden,Fluvisol,4,FALSE,0.24,23.10.2018,100,1,110,11006.9,45861942.82,2.08,2.01,180.6,26.11.2018; 28.11.2018,16S,Angel020-GA12_S265_L001_R1_001.fastq.gz
RA9,3,Summer,4,Teabag,Rooibos,Auboden,Fluvisol,1,FALSE,0.23,23.10.2018,100,1,48,4783.8,20799110.89,2.06,1.96,78.6,26.11.2018; 28.11.2018,16S,Angel021-RA9_S266_L001_R1_001.fastq.gz
RA10,3,Summer,4,Teabag,Rooibos,Auboden,Fluvisol,2,FALSE,0.23,23.10.2018,100,1,52,5165.6,22459314.36,2.09,1.9,81.7,26.11.2018; 28.11.2018,16S,Angel022-RA10_S267_L001_R1_001.fastq.gz
RA11,3,Summer,4,Teabag,Rooibos,Auboden,Fluvisol,3,FALSE,0.26,14.11.2018,100,1,52,5181,19926860.98,1.9,2.03,65.4,26.11.2018; 28.11.2018,16S,Angel023-RA11_S268_L001_R1_001.fastq.gz
RA12,3,Summer,4,Teabag,Rooibos,Auboden,Fluvisol,4,FALSE,0.24,14.11.2018,100,1,55,5455.2,22730007.57,1.87,2.01,74.3,26.11.2018; 28.11.2018,16S,Angel024-RA12_S269_L001_R1_001.fastq.gz
K1-3-1,3,Summer,4,Soil,Soil,Kolluvisol,Luvisol,1,FALSE,0.24,14.11.2018,100,1,18,1783.4,7430856.88,1.76,1.95,20.4,26.11.2018; 28.11.2018,16S,Angel025-K1-3-1_S270_L001_R1_001.fastq.gz
K1-3-2,3,Summer,4,Soil,Soil,Kolluvisol,Luvisol,2,FALSE,0.25,14.11.2018,100,1,19,1874,7495882.95,1.84,2.21,20.2,26.11.2018; 28.11.2018,16S,Angel026-K1-3-2_S271_L001_R1_001.fastq.gz
K1-3-3,3,Summer,4,Soil,Soil,Kolluvisol,Luvisol,3,FALSE,0.26,14.11.2018,100,1,22,2161.1,8311748.04,1.85,1.75,25.1,26.11.2018; 28.11.2018,16S,Angel027-K1-3-3_S272_L001_R1_001.fastq.gz
B1-3-1,3,Summer,4,Soil,Soil,Braunerde,Cambisol,1,FALSE,0.25,14.11.2018,100,1,43,4338.7,17354611.5,1.87,1.9,54,26.11.2018; 28.11.2018,16S,Angel028-B1-3-1_S273_L001_R1_001.fastq.gz
B1-3-2,3,Summer,4,Soil,Soil,Braunerde,Cambisol,2,FALSE,0.26,14.11.2018,100,1,42,4246.3,16332007.3,1.87,1.88,53.5,26.11.2018; 28.11.2018,16S,Angel029-B1-3-2_S274_L001_R1_001.fastq.gz
B1-3-3,3,Summer,4,Soil,Soil,Braunerde,Cambisol,3,FALSE,0.26,14.11.2018,100,1,44,4394.7,16902526.59,1.86,1.95,54.8,26.11.2018; 28.11.2018,16S,Angel030-B1-3-3_S275_L001_R1_001.fastq.gz
A1-3-1,3,Summer,4,Soil,Soil,Auboden,Fluvisol,1,FALSE,0.24,14.11.2018,100,1,35,3471.1,14462895.22,1.85,1.77,43.2,26.11.2018; 28.11.2018,16S,Angel031-A1-3-1_S276_L001_R1_001.fastq.gz
A1-3-2,3,Summer,4,Soil,Soil,Auboden,Fluvisol,2,FALSE,0.24,14.11.2018,100,1,35,3504.6,14602695.09,1.86,1.8,43.1,26.11.2018; 28.11.2018,16S,Angel032-A1-3-2_S277_L001_R1_001.fastq.gz
A1-3-3,3,Summer,4,Soil,Soil,Auboden,Fluvisol,3,FALSE,0.24,14.11.2018,100,1,35,3511.5,14631075.51,1.8,1.75,40.2,26.11.2018; 28.11.2018,16S,Angel033-A1-3-3_S278_L001_R1_001.fastq.gz
blank extr.,3,Summer,4,Control,Control,NA,NA,1,TRUE,NA,14.11.2018,100,1,0,NA,NA,NA,NA,0,26.11.2018; 28.11.2018,16S,Angel034-ExtrCTRL_S279_L001_R1_001.fastq.gz
NTC,3,Summer,4,Control,Control,NA,NA,1,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16S,Angel035-CTRL_S280_L001_R1_001.fastq.gz
RK13,4,Autumn,5,Teabag,Rooibos,Kolluvisol,Luvisol,1,FALSE,0.27,31.1.2019,100,1,35,3494.4,12942.21,1.78,1.42,50.1,13.2.2019,16S,Angel032-RK13_S32_L001_R1_001.fastq.gz
RK14,4,Autumn,5,Teabag,Rooibos,Kolluvisol,Luvisol,2,FALSE,0.27,31.1.2019,100,1,28,2790.1,10333.7,1.72,1.41,33.5,13.2.2019,16S,Angel033-RK14_S33_L001_R1_001.fastq.gz
RK15,4,Autumn,5,Teabag,Rooibos,Kolluvisol,Luvisol,3,FALSE,0.24,31.1.2019,100,1,36,3641.4,15172.54,1.86,2.25,59.6,13.2.2019,16S,Angel034-RK15_S34_L001_R1_001.fastq.gz
RK16,4,Autumn,5,Teabag,Rooibos,Kolluvisol,Luvisol,4,FALSE,0.26,31.1.2019,100,1,21,2106.3,8101.21,1.72,1.66,24.1,13.2.2019,16S,Angel035-RK16_S35_L001_R1_001.fastq.gz
GK13,4,Autumn,5,Teabag,Green tea,Kolluvisol,Luvisol,1,FALSE,0.28,31.1.2019,100,1,61,6089.4,21747.7,1.84,2.14,84.7,7.2.2019; 8.2.2019,16S,Angel018-GK13_S18_L001_R1_001.fastq.gz
GK14,4,Autumn,5,Teabag,Green tea,Kolluvisol,Luvisol,2,FALSE,0.24,31.1.2019,100,1,61,6085.9,25358.07,1.86,2.23,110.6,7.2.2019; 8.2.2019,16S,Angel019-GK14_S19_L001_R1_001.fastq.gz
GK15,4,Autumn,5,Teabag,Green tea,Kolluvisol,Luvisol,3,FALSE,0.25,31.1.2019,100,1,59,5921.8,23687.32,1.85,2.22,102.3,7.2.2019; 8.2.2019,16S,Angel020-GK15_S20_L001_R1_001.fastq.gz
GK16,4,Autumn,5,Teabag,Green tea,Kolluvisol,Luvisol,4,FALSE,0.24,31.1.2019,100,1,75,7501.4,31255.71,1.88,2.09,123.8,7.2.2019; 8.2.2019,16S,Angel021-GK16_S21_L001_R1_001.fastq.gz
RB13,4,Autumn,5,Teabag,Rooibos,Braunerde,Cambisol,1,FALSE,0.25,30.1.2019,100,1,37,3726.9,14907.53,1.74,1.3,42.2,13.2.2019,16S,Angel028-RB13_S28_L001_R1_001.fastq.gz
RB14,4,Autumn,5,Teabag,Rooibos,Braunerde,Cambisol,2,FALSE,0.26,30.1.2019,100,1,41,4133.7,15898.98,1.77,1.58,47.2,13.2.2019,16S,Angel029-RB14_S29_L001_R1_001.fastq.gz
RB15,4,Autumn,5,Teabag,Rooibos,Braunerde,Cambisol,3,FALSE,0.27,30.1.2019,100,1,17,1733.7,6420.93,1.66,1.21,23.5,13.2.2019,16S,Angel030-RB15_S30_L001_R1_001.fastq.gz
RB16,4,Autumn,5,Teabag,Rooibos,Braunerde,Cambisol,4,FALSE,0.26,30.1.2019,100,1,37,3675.6,14136.92,1.76,1.36,41.8,13.2.2019,16S,Angel031-RB16_S31_L001_R1_001.fastq.gz
GB13,4,Autumn,5,Teabag,Green tea,Braunerde,Cambisol,1,FALSE,0.29,31.1.2019,100,1,72,7176.6,24746.81,1.86,2.13,100.6,7.2.2019; 8.2.2019,16S,Angel014-GB13_S14_L001_R1_001.fastq.gz
GB14,4,Autumn,5,Teabag,Green tea,Braunerde,Cambisol,2,FALSE,0.26,31.1.2019,100,1,64,6369.7,24498.88,1.83,2,8.06,7.2.2019; 8.2.2019,16S,Angel015-GB14_S15_L001_R1_001.fastq.gz
GB15,4,Autumn,5,Teabag,Green tea,Braunerde,Cambisol,3,FALSE,0.26,31.1.2019,100,1,64,6376.5,24525.18,1.81,1.98,78.85,7.2.2019; 8.2.2019,16S,Angel016-GB15_S16_L001_R1_001.fastq.gz
GB16,4,Autumn,5,Teabag,Green tea,Braunerde,Cambisol,4,FALSE,0.26,31.1.2019,100,1,69,6889.4,26497.63,1.85,2.18,101.9,7.2.2019; 8.2.2019,16S,Angel017-GB16_S17_L001_R1_001.fastq.gz
RA13,4,Autumn,5,Teabag,Rooibos,Auboden,Fluvisol,1,FALSE,0.29,30.1.2019,100,1,32,3207.2,11059.33,1.78,1.48,36.1,13.2.2019,16S,Angel024-RA13_S24_L001_R1_001.fastq.gz
RA14,4,Autumn,5,Teabag,Rooibos,Auboden,Fluvisol,2,FALSE,0.29,30.1.2019,100,1,28,2827.7,9750.71,1.69,1.23,36.7,13.2.2019,16S,Angel025-RA14_S25_L001_R1_001.fastq.gz
RA15,4,Autumn,5,Teabag,Rooibos,Auboden,Fluvisol,3,FALSE,0.28,30.1.2019,100,1,57,5655.2,20196.98,1.83,1.86,69.6,13.2.2019,16S,Angel026-RA15_S26_L001_R1_001.fastq.gz
RA16,4,Autumn,5,Teabag,Rooibos,Auboden,Fluvisol,4,FALSE,0.27,30.1.2019,100,1,59,5925.2,21945.37,1.83,1.82,73.5,13.2.2019,16S,Angel027-RA16_S27_L001_R1_001.fastq.gz
GA13,4,Autumn,5,Teabag,Green tea,Auboden,Fluvisol,1,FALSE,0.25,30.1.2019,100,1,76,7573.2,30292.67,1.87,2.11,155.3,7.2.2019; 8.2.2019,16S,Angel010-GA13_S10_L001_R1_001.fastq.gz
GA14,4,Autumn,5,Teabag,Green tea,Auboden,Fluvisol,2,FALSE,0.24,30.1.2019,100,1,77,7730.4,32210.16,1.85,2.03,165.1,7.2.2019; 8.2.2019,16S,Angel011-GA14_S11_L001_R1_001.fastq.gz
GA15,4,Autumn,5,Teabag,Green tea,Auboden,Fluvisol,3,FALSE,0.29,30.1.2019,100,1,78,7798.8,26892.47,1.87,2.08,186,7.2.2019; 8.2.2019,16S,Angel012-GA15_S12_L001_R1_001.fastq.gz
GA16,4,Autumn,5,Teabag,Green tea,Auboden,Fluvisol,4,FALSE,0.27,30.1.2019,100,1,76,7645,28314.69,1.85,2.1,173.7,7.2.2019; 8.2.2019,16S,Angel013-GA16_S13_L001_R1_001.fastq.gz
soil 6-1,4,Autumn,5,Soil,Soil,Kolluvisol,Luvisol,1,FALSE,0.36,29.1.2019,100,1,27,2653.3,7370.39,1.76,1.89,37.1,7.2.2019; 8.2.2019,16S,Angel001-soil6-1_S1_L001_R1_001.fastq.gz
soil 6-2,4,Autumn,5,Soil,Soil,Kolluvisol,Luvisol,2,FALSE,0.31,29.1.2019,100,1,6,581.5,1875.73,1.55,0.82,7.3,7.2.2019; 8.2.2019,16S,Angel002-soil6-2_S2_L001_R1_001.fastq.gz
soil 6-3,4,Autumn,5,Soil,Soil,Kolluvisol,Luvisol,3,FALSE,0.34,29.1.2019,100,1,21,2102.9,6184.99,1.72,1.65,24.8,7.2.2019; 8.2.2019,16S,Angel003-soil6-3_S3_L001_R1_001.fastq.gz
soil 5-1,4,Autumn,5,Soil,Soil,Braunerde,Cambisol,1,FALSE,0.25,29.1.2019,100,1,22,2246.5,8985.96,1.72,1.94,25.1,7.2.2019; 8.2.2019,16S,Angel004-soil5-1_S4_L001_R1_001.fastq.gz
soil 5-2,4,Autumn,5,Soil,Soil,Braunerde,Cambisol,2,FALSE,0.28,29.1.2019,100,1,31,3114.9,11124.63,1.75,1.74,35.9,7.2.2019; 8.2.2019,16S,Angel005-soil5-2_S5_L001_R1_001.fastq.gz
soil 5-3,4,Autumn,5,Soil,Soil,Braunerde,Cambisol,3,FALSE,0.26,29.1.2019,100,1,23,2263.6,8706.1,1.72,1.71,26.5,7.2.2019; 8.2.2019,16S,Angel006-soil5-3_S6_L001_R1_001.fastq.gz
soil 4-1,4,Autumn,5,Soil,Soil,Auboden,Fluvisol,1,FALSE,0.27,29.1.2019,100,1,12,1200.3,4445.56,1.77,1.35,13.5,7.2.2019; 8.2.2019,16S,Angel007-soil4-1_S7_L001_R1_001.fastq.gz
soil 4-2,4,Autumn,5,Soil,Soil,Auboden,Fluvisol,2,FALSE,0.27,29.1.2019,100,1,28,2803.8,10384.35,1.71,1.67,30.6,7.2.2019; 8.2.2019,16S,Angel008-soil4-2_S8_L001_R1_001.fastq.gz
soil 4-3,4,Autumn,5,Soil,Soil,Auboden,Fluvisol,3,FALSE,0.26,29.1.2019,100,1,21,2051.6,7890.82,1.76,1.73,23.7,7.2.2019; 8.2.2019,16S,Angel009-soil4-3_S9_L001_R1_001.fastq.gz
mock community,4,Autumn,5,Mock,Mock,NA,NA,1,FALSE,NA,NA,NA,1,10,NA,NA,NA,NA,NA,12.2.2019,16S,Angel036-mock-Com_S36_L001_R1_001.fastq.gz
blank extr.,4,Autumn,5,Control,Control,NA,NA,1,TRUE,NA,29.1.2019,100,1,1,100,NA,1.38,0.56,19.5,12.2.2019,16S,Angel022-blank-Extr_S22_L001_R1_001.fastq.gz
NTC,4,Autumn,5,Control,Control,NA,NA,1,TRUE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16S,Angel023-NTC_S23_L001_R1_001.fastq.gz
