"","Order","Green tea","Rooibos","Estimate diff.","low CI","high CI","Green tea","Soil","Estimate diff.","low CI","high CI","Rooibos","Soil","Estimate diff.","low CI","high CI"
"1","Opitutales",0.530402044588885,0.606662863866106,-0.0806695040009668,-0.243277200443693,0.0919928072545488,0.530402044588885,0.754629051605922,-0.263547757737496,-0.438674799051223,-0.0944880445334235,0.606662863866106,0.754629051605922,-0.192120785485391,-0.362785503809614,0.0142123732695605
"2","Verrucomicrobiales",1.37077421531252,0.823507997972302,0.264935009935251,0.0106545788181765,0.527691763166102,1.37077421531252,0.29776505694859,0.562272163855871,0.373491171563876,0.904290920252723,0.823507997972302,0.29776505694859,0.277446823116365,0.12863138551116,0.499131029351778
"3","Sphingobacteriales",10.6201133107742,9.6383837563522,0.35393119509529,-2.32397949997271,3.5688343830371,10.6201133107742,0.924606730556254,8.23389291455128,6.12114767829751,12.7173911745717,9.6383837563522,0.924606730556254,8.35171585062297,6.15654588634753,11.0357853493016
"4","Flavobacteriales",11.5026740621382,8.18688448791488,1.75647574549398,-0.461217292942271,6.31658745277002,11.5026740621382,1.21387769025725,7.56694057023456,4.0614266604046,14.9590868198344,8.18688448791488,1.21387769025725,3.51779350131817,2.21447693695428,7.73746929992053
"5","Chitinophagales",5.3087357908572,7.12706653942714,-1.82358683191678,-3.63098984313109,-0.508493144022224,5.3087357908572,3.96487817144227,-0.445962731563174,-1.73708683232898,0.86392128978566,7.12706653942714,3.96487817144227,2.05727616888416,0.132587454117131,4.16644467390572
"6","Cytophagales",2.02610386845446,4.20056064802263,-1.83764816177101,-2.59741372668695,-1.17187255872358,2.02610386845446,2.47364242783413,-0.452857336152704,-0.954119964495205,0.0222647577123455,4.20056064802263,2.47364242783413,1.35196252124427,0.649095477440149,2.22536968929884
"7","Micrococcales",12.7053108753383,6.93387696269714,3.59226537639211,1.77907579820576,5.82164282737839,12.7053108753383,3.04387775616117,6.74139892920274,4.533364823549,8.92258985376079,6.93387696269714,3.04387775616117,3.18701247079324,1.98686109044759,5.09998076006835
"8","Micromonosporales",0.690385087097379,1.22893110720874,-0.143230377480846,-0.583712436768807,0.0131894972239057,0.690385087097379,1.20042909152988,-0.691912923272259,-0.856750404608161,-0.45287322713819,1.22893110720874,1.20042909152988,-0.485168837746783,-0.718887297574015,0.109284314260335
"9","Propionibacteriales",1.18168443302592,0.336112439999043,0.0896691825529248,-0.0432150837132608,1.07097453709842,1.18168443302592,1.20915461904062,-0.572588263293983,-0.948125298982829,0.231247051587996,0.336112439999043,1.20915461904062,-0.910748460477322,-1.05925920090972,-0.743601524095898
"10","Myxococcales",2.5654316460077,2.63792138786638,-0.654530270676335,-1.27635761362624,-0.0378687581496162,2.5654316460077,4.18018594704223,-2.79396554888473,-3.34249991384668,-1.91068080424977,2.63792138786638,4.18018594704223,-1.98030348707264,-2.61865733082217,-1.25156560551593
"11","Xanthomonadales",2.08687494256882,6.08594805396194,-1.19746435596332,-2.77648113712985,-0.16077935698876,2.08687494256882,1.40119733430608,0.586876200591681,-0.15247947872809,1.16191658186611,6.08594805396194,1.40119733430608,1.59075844950723,0.252827932970092,3.42566775671096
"12","Betaproteobacteriales",10.3572567999685,11.3912783967531,-1.12007118550786,-2.52977287639863,0.612529798499434,10.3572567999685,7.13592503589626,3.60504102852673,1.87625582795914,5.19255427627768,11.3912783967531,7.13592503589626,4.41130796257761,2.7190591532614,6.045902719063
"13","Enterobacteriales",4.47320241160669,1.04348406380383,0.873337674648923,0.253340883682997,1.98072012004823,4.47320241160669,0.569948526511664,1.18547921416133,0.523328006295132,2.64066240684945,1.04348406380383,0.569948526511664,0.259080373526479,0.014271865873186,0.526884405835563
"14","Pseudomonadales",12.6581770824886,9.72739944149982,2.75199513829724,-0.791805913119454,5.95996432542364,12.6581770824886,0.962890137421407,11.4029565272295,7.34587501155774,15.4270210868654,9.72739944149982,0.962890137421407,9.3811645446876,7.66717980337653,10.4422763971873
"15","Sphingomonadales",2.71577366443794,5.16452121009625,-2.23118569826356,-2.84041757577095,-1.60677966981258,2.71577366443794,2.08683486203164,0.532858766399253,-0.028253739924737,1.13161790373949,5.16452121009625,2.08683486203164,2.77203479202497,2.16298225734367,3.39916511117897
"16","Caulobacterales",2.65150569284233,3.66309919389846,-0.721555781098667,-1.46500960984149,-0.00114520110191172,2.65150569284233,0.459569273265263,2.30431411920032,1.61717719340431,2.66165228248414,3.66309919389846,0.459569273265263,2.87372509090298,2.16642314042907,3.46687918906286
"17","Rhizobiales",7.79245244328265,13.254777535465,-5.13919322657287,-7.7197509725175,-2.74677157697197,7.79245244328265,8.29547478820319,-1.41804621689955,-3.26585508964041,0.695828461876958,13.254777535465,8.29547478820319,4.25364352475831,1.82533219988466,7.28293296598231
