"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_216","Seq_216",0.0102809625667223,-1.18682999715229,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_1451","Seq_1451",0.020085326914554,1.18195338901333,"Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"Seq_750","Seq_750",0.0289151472829848,-1.17695854531439,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_590","Seq_590",0.0579794763845749,1.17546240569138,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_547","Seq_547",0.0736635315453665,1.17411456742037,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_432","Seq_432",0.0418118485990177,-1.16694384825082,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_1202","Seq_1202",0.0272728825808701,1.16539465667278,"Proteobacteria","Deltaproteobacteria","Myxococcales","Unclassified","Unclassified"
"Seq_92","Seq_92",0.0922119650571243,-1.16321705709645,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_1208","Seq_1208",0.0106042400109301,-1.16115158906319,"Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera"
"Seq_319","Seq_319",0.0455835685600167,-1.15917939433091,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_644","Seq_644",0.0405818068487871,-1.15882757834846,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"Seq_1021","Seq_1021",0.0184941560179571,-1.15282387746535,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_773","Seq_773",0.0465296176650064,1.13602191915489,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea"
