"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_6","Seq_6",0.0739499094228151,-0.9117175066599,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_397","Seq_397",0.0150605124413002,-0.911621740729814,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_578","Seq_578",0.00872232974706437,-0.911578016240284,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_1250","Seq_1250",0.0211387565238944,0.910130817548841,"Rare","Chloroflexia","Chloroflexales","Roseiflexaceae","Unclassified"
"Seq_838","Seq_838",0.0251947243478309,-0.909837210540477,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_1484","Seq_1484",0.0191994503249601,0.908391544042376,"Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Unclassified"
"Seq_1334","Seq_1334",0.0215490749315487,0.90708826234095,"Rare","NC10","Rokubacteriales","Unclassified","Unclassified"
"Seq_1629","Seq_1629",0.00852158912416942,-0.906990743994544,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter"
"Seq_2139","Seq_2139",0.00741185939201525,-0.906915460162829,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_308","Seq_308",0.0206224324608347,-0.905887236625065,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"Seq_1822","Seq_1822",0.0141137545338524,0.905427641858379,"Actinobacteria","Actinobacteria","Frankiales","Cryptosporangiaceae","Fodinicola"
"Seq_1686","Seq_1686",0.0180038639047668,0.904833820250565,"Rare","KD4-96","Unclassified","Unclassified","Unclassified"
"Seq_285","Seq_285",0.0694214992530068,-0.904429385727778,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_829","Seq_829",0.0385255242288571,0.903905447273937,"Rare","Blastocatellia_(Subgroup_4)","11-24","Unclassified","Unclassified"
"Seq_1013","Seq_1013",0.0287759526895752,0.903555581415739,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Unclassified"
"Seq_38","Seq_38",0.212537760714888,-0.903383421820601,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_1159","Seq_1159",0.0243321800442972,0.903344566382901,"Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Sorangium"
"Seq_1729","Seq_1729",0.0176521722288784,0.900521244512821,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified"
"Seq_1002","Seq_1002",0.010454224516909,-0.89844689410167,"Actinobacteria","Actinobacteria","Frankiales","Unclassified","Unclassified"
"Seq_82","Seq_82",0.210354640191504,-0.897320919568368,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_1067","Seq_1067",0.0166692422625335,-0.897218885269574,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Xylophilus"
"Seq_988","Seq_988",0.0283313167693253,0.896541596834027,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus_Xiphinematobacter"
"Seq_862","Seq_862",0.0256240740571652,-0.895062775729825,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces"
"Seq_1976","Seq_1976",0.0123913498859995,0.893987758420352,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_242","Seq_242",0.0364498860709696,-0.893734509607652,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herbaspirillum"
"Seq_187","Seq_187",0.0225463248808956,-0.89282381240846,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_336","Seq_336",0.0346023558817777,-0.892207098126832,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_97","Seq_97",0.154081845832931,-0.89176148827505,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_1269","Seq_1269",0.0224757234435179,0.891518567792661,"Rare","Bacilli","Bacillales","Bacillaceae","Bacillus"
"Seq_324","Seq_324",0.0786905723364296,0.891396667544358,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Virgisporangium"
"Seq_1584","Seq_1584",0.0174753430794374,0.89072623620825,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella"
"Seq_1953","Seq_1953",0.0144258870184791,0.888846147406234,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_488","Seq_488",0.0086256663086521,-0.888294263813055,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_1308","Seq_1308",0.019988039182298,0.886932270521686,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter"
"Seq_1769","Seq_1769",0.0149549863023784,0.88647744523116,"Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Seq_1476","Seq_1476",0.0206353940791407,0.885212337589733,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Kibdelosporangium"
"Seq_160","Seq_160",0.0748731061704678,-0.884255770938878,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_1665","Seq_1665",0.016947112464647,0.883932716486093,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_1335","Seq_1335",0.0221681409118018,0.883541848272303,"Rare","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula"
"Seq_644","Seq_644",0.00548028899701958,-0.883490948948711,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"Seq_211","Seq_211",0.0237457552283126,-0.8827010322988,"Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Unclassified"
"Seq_1469","Seq_1469",0.02025595545349,0.882084313655639,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_1071","Seq_1071",0.0137221302931929,-0.881880693994466,"Actinobacteria","Actinobacteria","Micrococcales","Sanguibacteraceae","Sanguibacter"
"Seq_411","Seq_411",0.0313479995911145,-0.881598726143491,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_2982","Seq_2982",0.00255563234376667,-0.880883132709043,"Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"Seq_34","Seq_34",0.344779659090121,-0.878210100791767,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Seq_1190","Seq_1190",0.0239702033963635,0.875831782308664,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84","Unclassified"
"Seq_1863","Seq_1863",0.0139427565514833,0.874700249983696,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Phytohabitans"
"Seq_267","Seq_267",0.0212366781983601,-0.874080919401069,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_297","Seq_297",0.0664119302783103,-0.87374012015628,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium"
"Seq_135","Seq_135",0.054450328045732,-0.87362418425235,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_1803","Seq_1803",0.0156441565123325,0.873107993041427,"Rare","Unclassified","Unclassified","Unclassified","Unclassified"
"Seq_287","Seq_287",0.101532665553609,-0.871917194464415,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_1705","Seq_1705",0.0146843884713526,0.871855395500871,"Rare","Unclassified","Unclassified","Unclassified","Unclassified"
"Seq_1963","Seq_1963",0.0125858120938152,0.871809252808147,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas"
