"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_151","Seq_151",0.201883890438328,2.64668679166923,"Rare","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"Seq_110","Seq_110",0.268030851145391,2.64420137970124,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Seq_72","Seq_72",0.224486256360145,2.64086690031254,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unclassified"
"Seq_229","Seq_229",0.125410226432799,2.61692431412314,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Uliginosibacterium"
"Seq_117","Seq_117",0.318519358030819,-2.61433634591657,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter"
"Seq_51","Seq_51",0.451556100524777,2.61429471643747,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_411","Seq_411",0.0535136492004456,2.59277847109118,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_209","Seq_209",0.194136806174926,-2.58924685917558,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Seq_160","Seq_160",0.148192586706425,2.558731466414,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_346","Seq_346",0.0510096254993635,2.55408925154291,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_442","Seq_442",0.0478725181274386,2.55146643428548,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter"
"Seq_156","Seq_156",0.192572398884472,2.51047569744447,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Seq_267","Seq_267",0.0538705884346923,2.50591051416394,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_357","Seq_357",0.0639073966263469,2.5024629230411,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Xylophilus"
"Seq_284","Seq_284",0.142219257733634,-2.47483327918472,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia"
"Seq_296","Seq_296",0.0750525561125419,2.45875452206369,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Seq_118","Seq_118",0.162214973314721,2.45651517522395,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_381","Seq_381",0.0672648364123255,2.45459546651407,"Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Unclassified"
"Seq_550","Seq_550",0.0370576649148952,2.44995131334606,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_79","Seq_79",0.29897588355174,2.43957702620507,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Parafrigoribacterium"
"Seq_360","Seq_360",0.0760475391974429,2.43293956702191,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rugamonas"
"Seq_793","Seq_793",0.0305659697735597,2.43084322475726,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herminiimonas"
"Seq_536","Seq_536",0.0716188133730465,-2.4289001712406,"Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Unclassified"
"Seq_119","Seq_119",0.287157317605657,-2.42388975137779,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_265","Seq_265",0.109160633910215,2.422525969517,"Rare","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"Seq_519","Seq_519",0.0371838855379337,2.41347922879677,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella"
"Seq_27","Seq_27",0.76155984760974,2.41230492751886,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_125","Seq_125",0.195464523803001,2.40598962023167,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_322","Seq_322",0.0696381296709119,2.39674790537086,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Actimicrobium"
