"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_282","Seq_282",0.110392998769495,0.733804374742693,"Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera"
"Seq_86","Seq_86",0.287388776349777,-0.733572475686493,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_357","Seq_357",0.00787735109041754,-0.732006243998215,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Xylophilus"
"Seq_604","Seq_604",0.0772228386684126,0.731911438149354,"Proteobacteria","Gammaproteobacteria","R7C24","Unclassified","Unclassified"
"Seq_1302","Seq_1302",0.014681829564471,0.73077013132504,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"Seq_2116","Seq_2116",0.0111965200168853,-0.725109743255562,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_896","Seq_896",0.0394156932956494,0.719598384760718,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_1103","Seq_1103",0.0154985111321223,0.71790653187381,"Rare","TK10","Unclassified","Unclassified","Unclassified"
"Seq_192","Seq_192",0.181036933231458,-0.716722395422572,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Filimonas"
"Seq_3728","Seq_3728",0.00452140358095814,-0.714269171078842,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Arcticibacter"
"Seq_1996","Seq_1996",0.0118888477891022,-0.71303696173809,"Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"Seq_1424","Seq_1424",0.0237689239425329,-0.706362557997947,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unclassified"
"Seq_372","Seq_372",0.0827502460454478,-0.705324687050972,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Seq_495","Seq_495",0.0547216756627485,0.704165949317299,"Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","Unclassified"
"Seq_828","Seq_828",0.00199911096960811,-0.703367766590924,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Seq_1130","Seq_1130",0.0202335512849087,0.703039817365577,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"Seq_1383","Seq_1383",0.0267476639920996,0.702177128232767,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae","BIyi10"
"Seq_555","Seq_555",0.0355645308356815,0.699788595760492,"Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","Unclassified"
"Seq_231","Seq_231",0.21641505821985,0.698914704400252,"Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Unclassified"
"Seq_319","Seq_319",0.025197696258581,-0.696791547921735,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_323","Seq_323",0.0532405544083868,-0.696627721537828,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_629","Seq_629",0.055655606179857,-0.694037915362513,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_600","Seq_600",0.0356711255942592,0.692540344475017,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium"
"Seq_75","Seq_75",0.164576402504543,-0.692284139004536,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_440","Seq_440",0.0659029792834431,0.690125333617998,"Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","Unclassified"
"Seq_277","Seq_277",0.0313579724387408,-0.689651369244648,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_19","Seq_19",0.00449511812686401,-0.688797095640205,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_1077","Seq_1077",0.0353014661500741,0.686070638312911,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"Seq_1214","Seq_1214",0.0188353120300115,0.683723103042724,"Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia"
"Seq_139","Seq_139",0.293896270569989,-0.682861339509503,"Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia"
"Seq_134","Seq_134",0.0166645716019718,-0.680786026279601,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_76","Seq_76",0.524899944540168,0.679331871951547,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Unclassified"
"Seq_911","Seq_911",0.0360866943456269,0.678928425304351,"Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","Unclassified"
"Seq_1273","Seq_1273",0.0223495159574224,-0.677094957131604,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_3082","Seq_3082",0.00800986276256157,0.67475253323568,"Proteobacteria","Gammaproteobacteria","PLTA13","Unclassified","Unclassified"
"Seq_10","Seq_10",0.315046004006632,-0.671778039300645,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Seq_493","Seq_493",0.0808706610374344,0.67132346699047,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Tahibacter"
"Seq_369","Seq_369",0.0521689680118551,0.671083620969497,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"Seq_1866","Seq_1866",0.0119181980279536,0.670326242414883,"Rare","Melainabacteria","Vampirovibrionales","Unclassified","Unclassified"
"Seq_497","Seq_497",0.0798246755085848,0.670281951982251,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_25","Seq_25",0.347780925738383,-0.668604359680848,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_535","Seq_535",0.0111174152571514,-0.665397341048397,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_28","Seq_28",0.247352033476049,-0.663122309586494,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"Seq_589","Seq_589",0.0170398630929957,-0.661544352239743,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Seq_181","Seq_181",0.194368862962045,-0.658429158357941,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Seq_1116","Seq_1116",0.0273059853848087,0.656184996075859,"Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","Unclassified"
"Seq_2399","Seq_2399",0.0124063232375726,0.654876883266929,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"Seq_314","Seq_314",0.107669112610089,-0.653592768817157,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"Seq_1422","Seq_1422",0.00619155625825444,-0.653352617761963,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_436","Seq_436",0.0167349872279388,-0.652670369753068,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_479","Seq_479",0.0144455497670015,-0.648450698772636,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera"
"Seq_768","Seq_768",0.0412157617995161,0.646211562411718,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium"
"Seq_1681","Seq_1681",0.00802541210244031,-0.645657979653997,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Seq_3080","Seq_3080",0.0024092320626335,-0.643305248553997,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"Seq_931","Seq_931",0.0207088824061574,-0.643116769801245,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unclassified"
"Seq_54","Seq_54",0.576232798573041,0.64291021815853,"Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora"
"Seq_2019","Seq_2019",0.0127324233284903,-0.642453360944448,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_2064","Seq_2064",0.0108333767446615,0.639805962832574,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Lysinimonas"
"Seq_209","Seq_209",0.22556119536697,0.638466332492678,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Seq_682","Seq_682",0.00920899977054361,-0.638145960440093,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_318","Seq_318",0.00727933729573905,-0.637565390547666,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_694","Seq_694",0.0369041332962321,0.637279258639358,"Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera"
"Seq_544","Seq_544",0.0241078565491674,0.637078568831167,"Rare","Subgroup_6","Unknown_Order","Unknown_Family","Vicinamibacter"
"Seq_2208","Seq_2208",0.0111111390216239,-0.635050596343479,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_2547","Seq_2547",0.0108386591860697,0.633890366636536,"Rare","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"Seq_3740","Seq_3740",0.00242133291955085,-0.630669275957165,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_789","Seq_789",0.00522956885898458,-0.63003834764071,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_1844","Seq_1844",0.0175827875908944,0.629414728505091,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"Seq_336","Seq_336",0.104483108338323,-0.627559164192613,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_1491","Seq_1491",0.0235342464821443,0.626655576058832,"Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia"
"Seq_3767","Seq_3767",0.00442356669119522,-0.625375135075258,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_433","Seq_433",0.0225264415590864,0.624398792623429,"Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"Seq_585","Seq_585",0.0726551154672871,0.622858548946712,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Lysinimonas"
"Seq_2400","Seq_2400",0.0123641272838636,0.622263930561004,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_405","Seq_405",0.115413349761065,0.621807321348391,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia"
"Seq_60","Seq_60",0.152326180339236,-0.621275723726447,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_774","Seq_774",0.0442650808113749,0.62117066509204,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella"
"Seq_1207","Seq_1207",0.0293412930143717,0.619342133376542,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Unclassified"
