"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_70","Seq_70",0.544071068698143,-1.33035409542974,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_229","Seq_229",0.122870472566671,1.32825484968221,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Uliginosibacterium"
"Seq_142","Seq_142",0.337694707771239,-1.29936450627846,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"Seq_71","Seq_71",0.074120346629606,-1.29831641666945,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Galbitalea"
"Seq_171","Seq_171",0.103483029777845,-1.29388280257832,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pseudorhodoferax"
"Seq_170","Seq_170",0.0226621031859143,-1.29214726200963,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Unclassified"
"Seq_414","Seq_414",0.0656078996772112,1.28807481728831,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax"
"Seq_154","Seq_154",0.0916977643723515,-1.28333517776789,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Herbiconiux"
"Seq_208","Seq_208",0.0626051830740692,-1.2806052745623,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_575","Seq_575",0.0465276650605973,1.26870323120935,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Seq_381","Seq_381",0.0690473810382338,1.263541797993,"Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Unclassified"
"Seq_1175","Seq_1175",0.0182784254331731,1.25508662877264,"Proteobacteria","Gammaproteobacteria","Unclassified","Unclassified","Unclassified"
"Seq_290","Seq_290",0.0894146784044404,1.24897841817503,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"Seq_39","Seq_39",0.745227135737236,-1.23702645736211,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_1113","Seq_1113",0.018375672442552,1.22812368042178,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Seq_6","Seq_6",1.02890510973366,-1.22653382861252,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_273","Seq_273",0.107608253420322,-1.22559672471041,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium"
"Seq_625","Seq_625",0.0375175605998759,1.21912987025575,"Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"Seq_724","Seq_724",0.0156927500259869,1.20575314230401,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"Seq_420","Seq_420",0.0529745621561154,-1.20285277228723,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pigmentiphaga"
"Seq_465","Seq_465",0.0274724629581387,-1.20092686365736,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_159","Seq_159",0.0667987842440486,-1.20023856507476,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Seq_956","Seq_956",0.0157433335066478,-1.17796483792591,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"Seq_227","Seq_227",0.0533972530628014,-1.17704564652197,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_1257","Seq_1257",0.0164925135728077,1.16241724559933,"Rare","Unclassified","Unclassified","Unclassified","Unclassified"
"Seq_667","Seq_667",0.0326659039837072,1.14893848965519,"Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","Unclassified"
