"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_106","Seq_106",0.230329029278534,0.698792498103778,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Roseateles"
"Seq_1155","Seq_1155",0.0133827226637749,0.689442019303524,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_543","Seq_543",0.0336391497160746,0.686295747710105,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_120","Seq_120",0.233165160938261,-0.683463862001953,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_431","Seq_431",0.0526197011639167,0.682292657828337,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Lysinimonas"
"Seq_65","Seq_65",0.344685275632906,-0.680037742211278,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_483","Seq_483",0.0462411301586769,-0.679570563759231,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Unclassified"
"Seq_2306","Seq_2306",0.00585458253190587,0.671978494576905,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"Seq_56","Seq_56",0.375940791335176,-0.668024108319331,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_419","Seq_419",0.0427281409875455,0.664861658566611,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Panacagrimonas"
"Seq_1470","Seq_1470",0.0100521351016188,0.659216196927752,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"Seq_847","Seq_847",0.0196902267382443,0.651186901188834,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_281","Seq_281",0.084456380016841,0.643620475552568,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_270","Seq_270",0.0760305198554756,0.643426194710321,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Lysinimonas"
"Seq_420","Seq_420",0.047486429962476,0.641315507431001,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pigmentiphaga"
"Seq_434","Seq_434",0.0462172408011739,-0.6365759078383,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_646","Seq_646",0.0315235479030876,-0.636030435176073,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_469","Seq_469",0.032617070329746,0.633600256009148,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_323","Seq_323",0.0611601423724898,0.626644756613687,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_644","Seq_644",0.0295591191926557,0.623387495488156,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"Seq_397","Seq_397",0.0487993656467573,0.622345158398182,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_170","Seq_170",0.133678170721105,0.62192154261321,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Unclassified"
"Seq_553","Seq_553",0.0330471842445168,0.620538260358714,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_818","Seq_818",0.0247840843993513,0.620132945960872,"Rare","Acidobacteriia","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Terriglobus"
"Seq_386","Seq_386",0.0594712262499712,0.616776450475545,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_496","Seq_496",0.0382343038855808,-0.611073429367847,"Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Oerskovia"
"Seq_595","Seq_595",0.035336951670711,-0.606835647161269,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum"
"Seq_348","Seq_348",0.069606048962634,-0.605940978006823,"Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Unclassified"
"Seq_389","Seq_389",0.0620441490714648,0.602286768857016,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_95","Seq_95",0.290157684999042,-0.60141271906715,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"Seq_1756","Seq_1756",0.00854012254925301,-0.598838254013171,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_239","Seq_239",0.103266466153826,0.598006406590357,"Proteobacteria","Deltaproteobacteria","Myxococcales","Unclassified","Unclassified"
"Seq_2312","Seq_2312",0.00622811464498672,0.596785431668296,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_1058","Seq_1058",0.0169245283119663,-0.596704632411941,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Hydrogenophaga"
"Seq_1382","Seq_1382",0.0132556617901426,-0.590540536600887,"Proteobacteria","Alphaproteobacteria","Unclassified","Unclassified","Unclassified"
"Seq_1090","Seq_1090",0.0166229023095702,0.586688291928218,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylopilaceae","Unclassified"
"Seq_1003","Seq_1003",0.0154611581320599,0.586638250699292,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"Seq_316","Seq_316",0.0382286044229086,0.586035462391372,"Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia"
"Seq_306","Seq_306",0.0550544576020299,-0.584274120049259,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herminiimonas"
"Seq_202","Seq_202",0.123651972396807,-0.576200782558,"Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas"
"Seq_37","Seq_37",0.471188267468114,0.57498440213555,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium"
"Seq_28","Seq_28",0.238912149013864,0.570189648518479,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"Seq_1050","Seq_1050",0.0180241637244702,0.569617623367622,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylopilaceae","Unclassified"
"Seq_294","Seq_294",0.0638984929991148,0.568626428984237,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","OLB12"
"Seq_438","Seq_438",0.0396721609797841,-0.566138893090899,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"Seq_642","Seq_642",0.0370317646735829,0.565261173635727,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unclassified"
"Seq_251","Seq_251",0.0913427057674695,-0.56261104500611,"Proteobacteria","Gammaproteobacteria","Cellvibrionales","Unclassified","Unclassified"
"Seq_1483","Seq_1483",0.0108460206585103,0.561645679231194,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Unclassified"
"Seq_1060","Seq_1060",0.018566252824636,0.559683063920327,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Ancylobacter"
"Seq_889","Seq_889",0.0181564551135523,0.558328980307835,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_698","Seq_698",0.025277554848662,0.555361789892657,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_631","Seq_631",0.0265669538896665,-0.554364261404204,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_1294","Seq_1294",0.010794879221305,-0.552161310742264,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Unclassified"
"Seq_1057","Seq_1057",0.0181187711451741,0.550603898962277,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_183","Seq_183",0.145789517609395,0.546204428833208,"Proteobacteria","Gammaproteobacteria","R7C24","Unclassified","Unclassified"
"Seq_709","Seq_709",0.0293835619031542,-0.54602080539271,"Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"Seq_565","Seq_565",0.0351658316640915,0.545278644972995,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_1019","Seq_1019",0.0156763077118158,0.545211945730845,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_1404","Seq_1404",0.00948739976711974,-0.544083416754069,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_25","Seq_25",0.64600050819014,-0.542435110798901,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_436","Seq_436",0.0423172202015079,0.540061400989345,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_159","Seq_159",0.142574080491701,0.537280933608056,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Seq_535","Seq_535",0.0306246944022588,0.535627302185176,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_1099","Seq_1099",0.0163719545990171,-0.531043114051124,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"Seq_33","Seq_33",0.565725919159092,0.530850857522376,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_475","Seq_475",0.0441499625982353,0.530637788205703,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Ancylobacter"
"Seq_1738","Seq_1738",0.00930095436747767,-0.529301283283608,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_1825","Seq_1825",0.0085521911601015,0.528517637646345,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"Seq_351","Seq_351",0.0511531055921023,-0.524127429824147,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"Seq_152","Seq_152",0.152466342070055,0.519846793918229,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_58","Seq_58",0.370418177306861,-0.517950962152275,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia"
"Seq_237","Seq_237",0.0780447245601553,0.51139335359903,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_68","Seq_68",0.265878662786658,0.509215688259808,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Unclassified"
"Seq_41","Seq_41",0.619509163377056,-0.506336033309835,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Achromobacter"
"Seq_17","Seq_17",1.14435558511982,-0.505909497178455,"Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora"
"Seq_447","Seq_447",0.0433402860101858,-0.504470815414546,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aminobacter"
"Seq_1800","Seq_1800",0.00750740430610468,0.504351503477652,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_452","Seq_452",0.050026779850246,-0.504171430149066,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_968","Seq_968",0.0160071131575289,0.503380886796973,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_665","Seq_665",0.0241632356826257,0.503080532571036,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_116","Seq_116",0.241385902138805,-0.502656957029174,"Rare","Unclassified","Unclassified","Unclassified","Unclassified"
"Seq_1172","Seq_1172",0.0121098722019483,-0.502341810234909,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Hydrogenophaga"
"Seq_1685","Seq_1685",0.0101515026529176,-0.500440733692477,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aminobacter"
"Seq_854","Seq_854",0.0218426281564637,-0.500398819897679,"Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Unclassified"
"Seq_1185","Seq_1185",0.0108846360653101,-0.499844861818,"Actinobacteria","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia"
"Seq_268","Seq_268",0.0884478103645672,0.497801345990452,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Filimonas"
"Seq_1128","Seq_1128",0.0188794967793971,-0.497652559068839,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"Seq_964","Seq_964",0.0168384483103911,-0.49465090852266,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
