"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_149","Seq_149",0.196623461333313,0.825807508688948,"Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
"Seq_688","Seq_688",0.0437739205188734,-0.823981996071526,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"Seq_471","Seq_471",0.0128268189449736,-0.823165992311707,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium"
"Seq_153","Seq_153",0.170152814100825,0.822896172846529,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_526","Seq_526",0.0173731116835507,-0.821517656045322,"Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Unclassified"
"Seq_2011","Seq_2011",0.00927199991150136,0.820779163179274,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Seq_1527","Seq_1527",0.0114014753881485,0.820082366873659,"Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"Seq_1904","Seq_1904",0.00995268299131293,0.81899044846893,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Seq_799","Seq_799",0.00872352858041791,-0.818839073630455,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhizobacter"
"Seq_1047","Seq_1047",0.0138922839742291,-0.818077645323176,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Unclassified"
"Seq_661","Seq_661",0.0349921617989682,0.815410111369504,"Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Unclassified"
"Seq_497","Seq_497",0.0181783005215103,-0.815028320499578,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_1151","Seq_1151",0.0143187816774943,0.813988755694005,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_461","Seq_461",0.0352392261893235,0.811031025041985,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_478","Seq_478",0.0590850001369205,-0.81081906079014,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_2692","Seq_2692",0.00686638001202111,-0.809993215142635,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_329","Seq_329",0.0323478911778868,-0.809236084402765,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"Seq_1067","Seq_1067",0.0200279492832042,-0.808693798316314,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Xylophilus"
"Seq_1211","Seq_1211",0.0104480934603519,-0.808527310276882,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_2192","Seq_2192",0.0105736549672816,-0.807779277646836,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella"
"Seq_1633","Seq_1633",0.0113415153419139,0.806523725179018,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_118","Seq_118",0.194602198098042,0.806275780187955,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_997","Seq_997",0.0164372781379868,-0.805782605257525,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium"
"Seq_1463","Seq_1463",0.00863062600659386,-0.80486681465601,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_878","Seq_878",0.023975835902652,0.804132350845393,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_44","Seq_44",0.481241021503786,0.800007920530166,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_51","Seq_51",0.465938433542369,0.799044618360644,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_1454","Seq_1454",0.0106855708682676,0.796728389501351,"Proteobacteria","Deltaproteobacteria","Myxococcales","Blfdi19","Unclassified"
"Seq_257","Seq_257",0.0134786809813809,0.795956629680507,"Rare","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","Unclassified"
"Seq_196","Seq_196",0.0223440802676512,-0.795589082399142,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_2469","Seq_2469",0.00613121841942647,0.793527685435355,"Rare","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"Seq_237","Seq_237",0.12058323540985,-0.793474656495758,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_572","Seq_572",0.0259064675728738,-0.792734145460447,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_285","Seq_285",0.0409357406570403,0.791666389509646,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_1473","Seq_1473",0.0140452906221005,0.789385299166582,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_1049","Seq_1049",0.0147943495224754,0.788958510121491,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium"
"Seq_1017","Seq_1017",0.0173409944770448,-0.785905485967528,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_123","Seq_123",0.174394037700723,-0.783251201662209,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhizobacter"
