"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_596","Seq_596",0.0383294882651575,0.818752180980183,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"Seq_1411","Seq_1411",0.0197315462137551,0.817397165061552,"Rare","Anaerolineae","Anaerolineales","Anaerolineaceae","Unclassified"
"Seq_1700","Seq_1700",0.0075791917235943,-0.817296707724283,"Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus"
"Seq_2076","Seq_2076",0.00718514273981575,-0.816892375313758,"Rare","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"Seq_148","Seq_148",0.128723635323763,-0.815980499085454,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_683","Seq_683",0.0110685881753588,-0.815463001917936,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Chiayiivirga"
"Seq_1517","Seq_1517",0.0188809745350342,0.815454924357251,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_878","Seq_878",0.0151250664050305,-0.815008045345219,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_755","Seq_755",0.00542026415545925,-0.814072227511747,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Seq_412","Seq_412",0.0570724941534527,-0.814046733873805,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas"
"Seq_1751","Seq_1751",0.0162806122476069,0.813784809885594,"Actinobacteria","Acidimicrobiia","Microtrichales","Unclassified","Unclassified"
"Seq_1308","Seq_1308",0.019588373697637,0.812644821071687,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter"
"Seq_952","Seq_952",0.0258645302849358,-0.812539739988684,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_2579","Seq_2579",0.00582138481542521,-0.812310826677535,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylopilaceae","Methylopila"
"Seq_588","Seq_588",0.0521030006951718,0.811747491855477,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas"
"Seq_1737","Seq_1737",0.0167731379159532,0.81138937449533,"Actinobacteria","Acidimicrobiia","IMCC26256","Unclassified","Unclassified"
"Seq_81","Seq_81",0.0763608002217222,-0.810986549533106,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Olivibacter"
"Seq_2252","Seq_2252",0.00708930018532088,-0.810739241146872,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"Seq_1113","Seq_1113",0.00633119722070641,-0.810550278188802,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Seq_3081","Seq_3081",0.00407897503639356,-0.808377207266951,"Rare","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"Seq_342","Seq_342",0.0577627242408437,-0.807409140867844,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudoflavitalea"
"Seq_364","Seq_364",0.0702282381547889,-0.807282885075274,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas"
"Seq_1415","Seq_1415",0.0174124018455394,0.80687653892485,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","Ellin6067"
"Seq_1229","Seq_1229",0.0231750461807074,0.806528997697757,"Rare","Blastocatellia_(Subgroup_4)","Pyrinomonadales","Pyrinomonadaceae","RB41"
"Seq_1822","Seq_1822",0.0139086037099464,0.806483487485785,"Actinobacteria","Actinobacteria","Frankiales","Cryptosporangiaceae","Fodinicola"
"Seq_2265","Seq_2265",0.00482941205177182,-0.806053271985734,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_598","Seq_598",0.0199593939504027,-0.805348138663508,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax"
"Seq_1164","Seq_1164",0.0152477607302578,0.80530169372986,"Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"Seq_1484","Seq_1484",0.0189295961273262,0.804896796781157,"Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Unclassified"
"Seq_1679","Seq_1679",0.0160465382423549,0.804706523193977,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"Seq_1428","Seq_1428",0.0187150722012007,0.804453658402139,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"Seq_371","Seq_371",0.0261467766164336,-0.804181487743232,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_234","Seq_234",0.0978455407002278,0.804107507176845,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Caenimonas"
"Seq_2091","Seq_2091",0.00867955801675452,-0.803301849930039,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Unclassified"
"Seq_1357","Seq_1357",0.0203526979864907,0.803101958255961,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"Seq_398","Seq_398",0.0520628807321496,-0.802904540659928,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_1145","Seq_1145",0.0207970523572298,0.802899347015926,"Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter"
"Seq_1210","Seq_1210",0.00846736850004091,-0.802671093507616,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter"
"Seq_1303","Seq_1303",0.0213270839200728,0.802435549068993,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_1117","Seq_1117",0.02181133338813,-0.801870345451713,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_1429","Seq_1429",0.0170613811174499,0.801617477116021,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Unclassified"
"Seq_1526","Seq_1526",0.0150106193553957,0.801519503320182,"Rare","Subgroup_22","Unclassified","Unclassified","Unclassified"
"Seq_396","Seq_396",0.04393330241458,-0.800929023672683,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudochrobactrum"
"Seq_1956","Seq_1956",0.0123343306608662,0.800770347186342,"Rare","Subgroup_17","Unclassified","Unclassified","Unclassified"
"Seq_1604","Seq_1604",0.0155808766602805,0.798888029972024,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Unclassified"
"Seq_3039","Seq_3039",0.00447262787649329,-0.798184682028405,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_720","Seq_720",0.0423065693799139,0.797721987160837,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium"
"Seq_4249","Seq_4249",0.00240471764607418,-0.797612009752174,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unclassified"
"Seq_285","Seq_285",0.0185069419622738,-0.797315652063469,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_1991","Seq_1991",0.0127009270515008,0.79534782611295,"Rare","TK10","Unclassified","Unclassified","Unclassified"
"Seq_1903","Seq_1903",0.00492840374149554,-0.795101375170776,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"Seq_1716","Seq_1716",0.0163219087923823,0.795018729968953,"Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Seq_1045","Seq_1045",0.0280820652476588,0.794909411179436,"Proteobacteria","Deltaproteobacteria","Unclassified","Unclassified","Unclassified"
"Seq_1611","Seq_1611",0.010331672368407,-0.794155172399697,"Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera"
"Seq_1670","Seq_1670",0.0107751220833081,-0.794065728909091,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"Seq_2437","Seq_2437",0.00995283849903046,0.793847042010688,"Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Seq_632","Seq_632",0.020307516168486,-0.793676388735557,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_491","Seq_491",0.0581553332455882,0.793419002962016,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_203","Seq_203",0.114402946492206,-0.792997717110969,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_851","Seq_851",0.00781479505462658,-0.792993770491225,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax"
"Seq_780","Seq_780",0.0116700116874109,-0.792886797647944,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_2612","Seq_2612",0.00485587506689089,-0.791870313984681,"Rare","Unclassified","Unclassified","Unclassified","Unclassified"
"Seq_1473","Seq_1473",0.00781869542278489,-0.791636548219767,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_1922","Seq_1922",0.0142554171531471,0.791331776415947,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"Seq_3112","Seq_3112",0.00412301642797469,-0.790824511917208,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unclassified"
"Seq_3538","Seq_3538",0.00296768169122196,-0.790657802945328,"Rare","Planctomycetacia","Planctomycetales","Schlesneriaceae","Planctopirus"
"Seq_460","Seq_460",0.065999729581241,0.789318429699433,"Rare","Holophagae","Subgroup_7","Unclassified","Unclassified"
"Seq_859","Seq_859",0.0322805266785147,0.789314598880917,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria"
